sep=;
report;step_index;step_name;url;performance;FCP;LCP;TBT;CLS;SpeedIndex;FCP_ms;LCP_ms;TBT_ms;CLS_value;SpeedIndex_ms
1;1;Cold navigation;http://localhost:4000/board;95;0.9 s;1.0 s;130 ms;0.007;1.1 s;911.4;1029.9;132;0.0074;1085.1
1;2;Warm navigation;http://localhost:4000/board;98;0.2 s;0.3 s;130 ms;0;0.2 s;242.2;341.2;126.5;0;242.2
2;1;Cold navigation;http://localhost:4000/board;95;0.9 s;1.1 s;130 ms;0.007;1.1 s;946.8;1069.3;128;0.0074;1120.4
2;2;Warm navigation;http://localhost:4000/board;95;0.2 s;0.3 s;180 ms;0;0.2 s;210.3;333.8;177;0;244.2
3;1;Cold navigation;http://localhost:4000/board;92;0.9 s;1.1 s;170 ms;0.007;1.3 s;909.9;1062.9;174.5;0.0074;1252.9
3;2;Warm navigation;http://localhost:4000/board;96;0.2 s;0.3 s;160 ms;0;0.2 s;210.6;326.1;159;0;236.2
4;1;Cold navigation;http://localhost:4000/board;94;1.0 s;1.1 s;140 ms;0;1.1 s;955.5;1056;137;0;1132.3
4;2;Warm navigation;http://localhost:4000/board;97;0.2 s;0.3 s;150 ms;0;0.2 s;209.3;317.3;145.5;0;233.9
5;1;Cold navigation;http://localhost:4000/board;94;0.9 s;1.1 s;130 ms;0.007;1.1 s;944.7;1067.7;134;0.0074;1132.9
5;2;Warm navigation;http://localhost:4000/board;98;0.2 s;0.3 s;130 ms;0;0.2 s;210.3;313.3;134.5;0;229.1
6;1;Cold navigation;http://localhost:4000/board;94;1.0 s;1.1 s;140 ms;0;1.1 s;954.7;1054.2;136;0;1121.4
6;2;Warm navigation;http://localhost:4000/board;98;0.2 s;0.3 s;130 ms;0;0.6 s;208.3;306.8;126;0;550.9
7;1;Cold navigation;http://localhost:4000/board;93;1.0 s;1.1 s;150 ms;0.007;1.1 s;964.3;1091.8;145;0.0074;1141.8
7;2;Warm navigation;http://localhost:4000/board;96;0.2 s;0.3 s;170 ms;0;0.2 s;212.2;334.2;166;0;240.4
8;1;Cold navigation;http://localhost:4000/board;92;0.9 s;1.1 s;170 ms;0.007;1.2 s;909.5;1055.5;173.5;0.0074;1200.5
8;2;Warm navigation;http://localhost:4000/board;96;0.2 s;0.3 s;180 ms;0;0.3 s;213.1;329.1;176;0;257.3
9;1;Cold navigation;http://localhost:4000/board;95;0.9 s;1.0 s;120 ms;0;1.1 s;946.9;1006.9;116;0;1118.1
9;2;Warm navigation;http://localhost:4000/board;96;0.2 s;0.4 s;160 ms;0;0.3 s;239.2;354.2;162.5;0;250.7
10;1;Cold navigation;http://localhost:4000/board;95;0.9 s;1.0 s;130 ms;0.007;1.1 s;914.9;1038.4;132;0.0074;1142.9
10;2;Warm navigation;http://localhost:4000/board;93;0.2 s;0.3 s;210 ms;0;0.3 s;209.7;349.7;212.5;0;262.9
AVG;1;Cold navigation (avg);;94;0.9 s;1.1 s;141 ms;0.005;1.1 s;935.9;1053.3;140.8;0.0052;1144.8
AVG;2;Warm navigation (avg);;96;0.2 s;0.3 s;159 ms;0;0.3 s;216.5;330.6;158.6;0;274.8
