sep=;
report;step_index;step_name;url;performance;FCP;LCP;TBT;CLS;SpeedIndex;FCP_ms;LCP_ms;TBT_ms;CLS_value;SpeedIndex_ms
1;1;Cold navigation;http://localhost:5000/#/home/board;88;0.4 s;;;0;2.4 s;360.8;;;0;2363.7
1;2;Warm navigation;http://localhost:5000/;99;0.2 s;;;0;1.2 s;188.9;;;0;1155.3
2;1;Cold navigation;http://localhost:5000/#/home/board;88;0.4 s;;;0;2.4 s;361.6;;;0;2411.1
2;2;Warm navigation;http://localhost:5000/;98;0.2 s;;;0;1.2 s;186.4;;;0;1216.8
3;1;Cold navigation;http://localhost:5000/#/home/board;88;0.4 s;;;0;2.4 s;358.8;;;0;2389.4
3;2;Warm navigation;http://localhost:5000/;98;0.2 s;;;0;1.2 s;185.9;;;0;1218.4
4;1;Cold navigation;http://localhost:5000/#/home/board;88;0.4 s;;;0;2.4 s;367.8;;;0;2382.6
4;2;Warm navigation;http://localhost:5000/;98;0.2 s;;;0;1.2 s;191.7;;;0;1244.5
5;1;Cold navigation;http://localhost:5000/#/home/board;88;0.4 s;;;0;2.4 s;354.5;;;0;2392.4
5;2;Warm navigation;http://localhost:5000/;99;0.2 s;;;0;1.2 s;191.1;;;0;1166.8
6;1;Cold navigation;http://localhost:5000/#/home/board;88;0.4 s;;;0;2.4 s;375.1;;;0;2420.3
6;2;Warm navigation;http://localhost:5000/;98;0.2 s;;;0;1.2 s;190.1;;;0;1186.5
7;1;Cold navigation;http://localhost:5000/#/home/board;87;0.4 s;;;0;2.5 s;357.8;;;0;2505.3
7;2;Warm navigation;http://localhost:5000/;98;0.2 s;;;0;1.3 s;189.9;;;0;1295.2
8;1;Cold navigation;http://localhost:5000/#/home/board;88;0.4 s;;;0;2.4 s;358.6;;;0;2387
8;2;Warm navigation;http://localhost:5000/;97;0.2 s;;;0;1.4 s;190.1;;;0;1354.8
9;1;Cold navigation;http://localhost:5000/#/home/board;88;0.4 s;;;0;2.4 s;357.3;;;0;2438.7
9;2;Warm navigation;http://localhost:5000/;97;0.2 s;;;0;1.5 s;189.2;;;0;1456.5
10;1;Cold navigation;http://localhost:5000/#/home/board;87;0.4 s;;;0;2.5 s;382.2;;;0;2481.7
10;2;Warm navigation;http://localhost:5000/;97;0.2 s;;;0;1.4 s;191;;;0;1362.7
AVG;1;Cold navigation (avg);;88;0.4 s;;;0;2.4 s;363.4;;;0;2417.2
AVG;2;Warm navigation (avg);;98;0.2 s;;;0;1.3 s;189.4;;;0;1265.8
