sep=;
report;step_index;step_name;url;performance;FCP;LCP;TBT;CLS;SpeedIndex;FCP_ms;LCP_ms;TBT_ms;CLS_value;SpeedIndex_ms
1;1;Cold navigation;http://localhost:4000/board;46;4.5 s;4.7 s;"1,510 ms";0.027;4.5 s;4470;4725.5;1507;0.0272;4470
1;2;Warm navigation;http://localhost:4000/board;74;0.7 s;0.8 s;"1,470 ms";0;1.6 s;704.3;782.8;1466.3;0;1588.4
2;1;Cold navigation;http://localhost:4000/board;48;4.3 s;4.7 s;"1,310 ms";0.027;4.3 s;4307.3;4668.3;1306;0.0272;4307.3
2;2;Warm navigation;http://localhost:4000/board;74;0.7 s;0.8 s;"1,510 ms";0;1.6 s;701.3;785.3;1508.8;0;1624.9
3;1;Cold navigation;http://localhost:4000/board;48;4.5 s;4.6 s;"1,250 ms";0.027;4.5 s;4460.5;4563;1254;0.0272;4460.5
3;2;Warm navigation;http://localhost:4000/board;74;0.7 s;0.8 s;"1,480 ms";0;1.6 s;705.6;786.1;1476.3;0;1635.6
4;1;Cold navigation;http://localhost:4000/board;49;4.4 s;4.5 s;"1,220 ms";0.027;4.4 s;4370.2;4526;1224.8;0.0272;4370.2
4;2;Warm navigation;http://localhost:4000/board;74;0.7 s;0.8 s;"1,530 ms";0;1.7 s;712.3;797.8;1533.3;0;1678.3
5;1;Cold navigation;http://localhost:4000/board;48;4.3 s;4.6 s;"1,390 ms";0;4.3 s;4312.6;4584.6;1390;0;4312.6
5;2;Warm navigation;http://localhost:4000/board;72;0.7 s;0.8 s;"2,000 ms";0;2.0 s;715.3;834.3;1997.3;0;1974.4
6;1;Cold navigation;http://localhost:4000/board;46;4.4 s;4.7 s;"1,530 ms";0.027;4.4 s;4448.4;4682.4;1530;0.0272;4448.4
6;2;Warm navigation;http://localhost:4000/board;73;0.7 s;0.8 s;"1,800 ms";0;1.8 s;708.3;795.3;1798.8;0;1797.3
7;1;Cold navigation;http://localhost:4000/board;47;4.3 s;4.7 s;"1,370 ms";0.027;4.3 s;4320.3;4698.8;1369;0.0272;4320.3
7;2;Warm navigation;http://localhost:4000/board;72;0.7 s;0.9 s;"2,090 ms";0;2.0 s;724.2;861.7;2085.8;0;1984.9
8;1;Cold navigation;http://localhost:4000/board;48;4.4 s;4.5 s;"1,280 ms";0.027;4.4 s;4426.1;4532.6;1282;0.0272;4426.1
8;2;Warm navigation;http://localhost:4000/board;72;0.7 s;0.9 s;"2,030 ms";0;2.0 s;745.2;860.2;2026.3;0;1994.5
9;1;Cold navigation;http://localhost:4000/board;49;4.3 s;4.6 s;"1,310 ms";0;4.3 s;4296.2;4564.7;1309;0;4296.2
9;2;Warm navigation;http://localhost:4000/board;73;0.7 s;0.8 s;"1,830 ms";0;1.9 s;695.5;789;1834.3;0;1856.2
10;1;Cold navigation;http://localhost:4000/board;49;4.3 s;4.5 s;"1,210 ms";0;4.3 s;4283;4549;1209;0;4283
10;2;Warm navigation;http://localhost:4000/board;72;0.7 s;0.8 s;"2,030 ms";0;2.0 s;709.4;800.4;2026.3;0;1963.8
AVG;1;Cold navigation (avg);;48;4.4 s;4.6 s;1338 ms;0.019;4.4 s;4369.5;4609.5;1338.1;0.019;4369.5
AVG;2;Warm navigation (avg);;73;0.7 s;0.8 s;1775 ms;0;1.8 s;712.1;809.3;1775.3;0;1809.8
