sep=;
report;step_index;step_name;url;performance;FCP;LCP;TBT;CLS;SpeedIndex;FCP_ms;LCP_ms;TBT_ms;CLS_value;SpeedIndex_ms
1;1;Cold navigation;http://localhost:4000/dashboard;96;0.9 s;1.0 s;100 ms;0;1.2 s;904.5;993;103;0.0003;1174.6
1;2;Warm navigation;http://localhost:4000/dashboard;97;0.2 s;0.3 s;150 ms;0;0.5 s;208.3;311.3;148;0;509.6
2;1;Cold navigation;http://localhost:4000/dashboard;95;0.9 s;1.0 s;120 ms;0;1.2 s;903.7;1044.2;115;0.0003;1184.7
2;2;Warm navigation;http://localhost:4000/dashboard;99;0.2 s;0.3 s;90 ms;0;0.4 s;210.5;288;92.5;0;418.4
3;1;Cold navigation;http://localhost:4000/dashboard;94;0.9 s;1.1 s;120 ms;0;1.3 s;944.2;1086.7;121;0.0003;1298.2
3;2;Warm navigation;http://localhost:4000/dashboard;99;0.2 s;0.3 s;100 ms;0;0.4 s;208.3;286.8;98;0;429.1
4;1;Cold navigation;http://localhost:4000/dashboard;94;0.9 s;1.1 s;140 ms;0;1.3 s;949;1055;144;0;1270.9
4;2;Warm navigation;http://localhost:4000/dashboard;99;0.2 s;0.3 s;80 ms;0;0.4 s;237.2;309.7;83;0;414.8
5;1;Cold navigation;http://localhost:4000/dashboard;95;1.0 s;1.1 s;100 ms;0;1.2 s;990;1082;100;0.0003;1199.1
5;2;Warm navigation;http://localhost:4000/dashboard;99;0.2 s;0.3 s;90 ms;0;0.4 s;208.3;284.3;90.5;0;407.1
6;1;Cold navigation;http://localhost:4000/dashboard;96;0.9 s;1.0 s;110 ms;0;1.2 s;919.1;1008.6;106;0.0003;1166.7
6;2;Warm navigation;http://localhost:4000/dashboard;99;0.2 s;0.3 s;80 ms;0;0.4 s;210.5;282.5;82.5;0;396.7
7;1;Cold navigation;http://localhost:4000/dashboard;96;0.9 s;1.0 s;110 ms;0;1.2 s;915.6;1007.6;112;0;1196.6
7;2;Warm navigation;http://localhost:4000/dashboard;99;0.2 s;0.3 s;90 ms;0;0.4 s;239.2;312.2;85.5;0;422
8;1;Cold navigation;http://localhost:4000/dashboard;97;0.9 s;1.0 s;80 ms;0;1.2 s;876.2;1022.2;81;0.0003;1225.9
8;2;Warm navigation;http://localhost:4000/dashboard;99;0.2 s;0.3 s;80 ms;0;0.4 s;209.3;282.8;84.5;0;409.4
9;1;Cold navigation;http://localhost:4000/dashboard;96;0.9 s;1.0 s;110 ms;0;1.2 s;907.1;1001.6;105;0.0003;1169.6
9;2;Warm navigation;http://localhost:4000/dashboard;99;0.2 s;0.3 s;90 ms;0;0.4 s;208.4;281.9;86;0;414.5
10;1;Cold navigation;http://localhost:4000/dashboard;95;1.0 s;1.1 s;100 ms;0;1.2 s;990;1085;101;0.0003;1207.8
10;2;Warm navigation;http://localhost:4000/dashboard;99;0.2 s;0.3 s;100 ms;0;0.4 s;213.4;294.9;103;0;433.4
AVG;1;Cold navigation (avg);;95;0.9 s;1.0 s;109 ms;0;1.2 s;929.9;1038.6;108.8;0.0002;1209.4
AVG;2;Warm navigation (avg);;99;0.2 s;0.3 s;95 ms;0;0.4 s;215.3;293.4;95.3;0;425.5
