sep=;
report;step_index;step_name;url;performance;FCP;LCP;TBT;CLS;SpeedIndex;FCP_ms;LCP_ms;TBT_ms;CLS_value;SpeedIndex_ms
1;1;Cold navigation;http://localhost:5000/#/home;88;0.4 s;;;0;2.4 s;372.4;;;0;2379
1;2;Warm navigation;http://localhost:5000/;98;0.2 s;;;0;1.2 s;189.8;;;0;1174.6
2;1;Cold navigation;http://localhost:5000/#/home;87;0.4 s;;;0;2.5 s;362.1;;;0;2547.5
2;2;Warm navigation;http://localhost:5000/;98;0.2 s;;;0;1.2 s;188.5;;;0;1174.4
3;1;Cold navigation;http://localhost:5000/#/home;88;0.4 s;;;0;2.4 s;371.6;;;0;2362.7
3;2;Warm navigation;http://localhost:5000/;97;0.2 s;;;0;1.4 s;188.2;;;0;1375.6
4;1;Cold navigation;http://localhost:5000/#/home;88;0.4 s;;;0;2.4 s;379.3;;;0;2388.5
4;2;Warm navigation;http://localhost:5000/;96;0.2 s;;;0;1.5 s;191.7;;;0;1461
5;1;Cold navigation;http://localhost:5000/#/home;87;0.4 s;;;0;2.5 s;355.5;;;0;2510.6
5;2;Warm navigation;http://localhost:5000/;98;0.2 s;;;0;1.2 s;190.3;;;0;1248.7
6;1;Cold navigation;http://localhost:5000/#/home;88;0.4 s;;;0;2.4 s;357.1;;;0;2412.7
6;2;Warm navigation;http://localhost:5000/;95;0.2 s;;;0;1.6 s;189;;;0;1648
7;1;Cold navigation;http://localhost:5000/#/home;88;0.4 s;;;0;2.4 s;369.5;;;0;2387.5
7;2;Warm navigation;http://localhost:5000/;97;0.2 s;;;0;1.3 s;189;;;0;1347.6
8;1;Cold navigation;http://localhost:5000/#/home;88;0.4 s;;;0;2.4 s;357.8;;;0;2376.4
8;2;Warm navigation;http://localhost:5000/;95;0.2 s;;;0;1.6 s;190.8;;;0;1616.6
9;1;Cold navigation;http://localhost:5000/#/home;87;0.4 s;;;0;2.5 s;361.3;;;0;2471.7
9;2;Warm navigation;http://localhost:5000/;98;0.2 s;;;0;1.3 s;190.9;;;0;1253.6
10;1;Cold navigation;http://localhost:5000/#/home;88;0.4 s;;;0;2.4 s;374;;;0;2425.2
10;2;Warm navigation;http://localhost:5000/;97;0.2 s;;;0;1.4 s;189.2;;;0;1427.2
AVG;1;Cold navigation (avg);;88;0.4 s;;;0;2.4 s;366.1;;;0;2426.2
AVG;2;Warm navigation (avg);;97;0.2 s;;;0;1.4 s;189.7;;;0;1372.7
