sep=;
report;step_index;step_name;url;performance;FCP;LCP;TBT;CLS;SpeedIndex;FCP_ms;LCP_ms;TBT_ms;CLS_value;SpeedIndex_ms
1;1;Cold navigation;http://localhost:4000/dashboard;57;4.3 s;4.8 s;590 ms;0;4.3 s;4263.3;4759.8;593;0.0003;4263.3
1;2;Warm navigation;http://localhost:4000/dashboard;80;0.7 s;1.0 s;890 ms;0;1.2 s;703.9;1006.9;894.3;0;1179.5
2;1;Cold navigation;http://localhost:4000/dashboard;57;4.3 s;4.8 s;580 ms;0;4.3 s;4313.5;4828.5;580;0;4313.5
2;2;Warm navigation;http://localhost:4000/dashboard;80;0.7 s;1.0 s;850 ms;0;1.1 s;719.2;1000.7;845.8;0;1141.4
3;1;Cold navigation;http://localhost:4000/dashboard;55;4.3 s;4.9 s;670 ms;0;4.3 s;4308.3;4865.8;665;0.0003;4308.3
3;2;Warm navigation;http://localhost:4000/dashboard;80;0.7 s;1.0 s;860 ms;0;1.1 s;687.8;978.3;863.3;0;1144.1
4;1;Cold navigation;http://localhost:4000/dashboard;54;4.3 s;4.9 s;700 ms;0;4.3 s;4304.1;4881.1;704;0.0003;4304.1
4;2;Warm navigation;http://localhost:4000/dashboard;80;0.7 s;1.0 s;840 ms;0;1.2 s;700.3;1003.3;842.8;0;1169.1
5;1;Cold navigation;http://localhost:4000/dashboard;54;4.3 s;4.9 s;700 ms;0;4.3 s;4309;4883;698;0.0003;4309
5;2;Warm navigation;http://localhost:4000/dashboard;80;0.7 s;1.0 s;860 ms;0;1.2 s;732.2;1026.2;862.3;0;1167.7
6;1;Cold navigation;http://localhost:4000/dashboard;56;4.4 s;4.8 s;630 ms;0;4.4 s;4426.5;4793;633;0;4426.5
6;2;Warm navigation;http://localhost:4000/dashboard;80;0.7 s;1.0 s;860 ms;0;1.1 s;724.2;1013.2;864.3;0;1136.2
7;1;Cold navigation;http://localhost:4000/dashboard;56;4.3 s;4.8 s;650 ms;0;4.3 s;4296.2;4844.2;646;0.0003;4296.2
7;2;Warm navigation;http://localhost:4000/dashboard;81;0.7 s;1.0 s;810 ms;0;1.1 s;693.3;985.3;812.8;0;1112
8;1;Cold navigation;http://localhost:4000/dashboard;69;4.9 s;5.0 s;50 ms;0;4.9 s;4878.5;5033;54.4;0.0003;4878.5
8;2;Warm navigation;http://localhost:4000/dashboard;80;0.7 s;1.0 s;840 ms;0;1.2 s;714.2;996.7;841.3;0;1154.9
9;1;Cold navigation;http://localhost:4000/dashboard;54;4.5 s;4.9 s;670 ms;0;4.5 s;4452.2;4863.2;672;0.0003;4452.2
9;2;Warm navigation;http://localhost:4000/dashboard;79;0.7 s;1.0 s;910 ms;0;1.2 s;705.3;992.8;913.3;0;1184.6
10;1;Cold navigation;http://localhost:4000/dashboard;55;4.5 s;4.9 s;660 ms;0;4.5 s;4464;4869;660;0.0003;4464
10;2;Warm navigation;http://localhost:4000/dashboard;80;0.7 s;1.0 s;840 ms;0;1.2 s;694.3;986.3;842.8;0;1169.8
AVG;1;Cold navigation (avg);;57;4.4 s;4.9 s;591 ms;0;4.4 s;4401.6;4862.1;590.5;0.0002;4401.6
AVG;2;Warm navigation (avg);;80;0.7 s;1.0 s;858 ms;0;1.2 s;707.5;999;858.3;0;1155.9
