sep=;
report;step_index;step_name;url;performance;FCP;LCP;TBT;CLS;SpeedIndex;FCP_ms;LCP_ms;TBT_ms;CLS_value;SpeedIndex_ms
1;1;Cold navigation;http://localhost:5200/#/login;94;0.5 s;;;0;1.8 s;473.9;;;0;1786.7
1;2;Warm navigation;http://localhost:5200/;100;0.4 s;;;0;0.4 s;398.8;;;0;403.2
2;1;Cold navigation;http://localhost:5200/#/login;94;0.5 s;;;0;1.7 s;472.6;;;0;1695.2
2;2;Warm navigation;http://localhost:5200/;100;0.4 s;;;0;0.4 s;401.8;;;0;424.1
3;1;Cold navigation;http://localhost:5200/#/login;94;0.5 s;;;0;1.7 s;472.4;;;0;1716.2
3;2;Warm navigation;http://localhost:5200/;100;0.4 s;;;0;0.4 s;397.4;;;0;403.2
4;1;Cold navigation;http://localhost:5200/#/login;94;0.5 s;;;0;1.7 s;473.7;;;0;1715
4;2;Warm navigation;http://localhost:5200/;100;0.4 s;;;0;0.4 s;397.2;;;0;404.6
5;1;Cold navigation;http://localhost:5200/#/login;94;0.5 s;;;0;1.7 s;472.7;;;0;1719.7
5;2;Warm navigation;http://localhost:5200/;100;0.4 s;;;0;0.4 s;395.8;;;0;406.4
6;1;Cold navigation;http://localhost:5200/#/login;94;0.5 s;;;0;1.7 s;479.8;;;0;1743.8
6;2;Warm navigation;http://localhost:5200/;100;0.4 s;;;0;0.4 s;399.8;;;0;430.6
7;1;Cold navigation;http://localhost:5200/#/login;94;0.5 s;;;0;1.8 s;478.8;;;0;1758.7
7;2;Warm navigation;http://localhost:5200/;100;0.4 s;;;0;0.4 s;395.2;;;0;408.7
8;1;Cold navigation;http://localhost:5200/#/login;94;0.5 s;;;0;1.7 s;471.8;;;0;1720.6
8;2;Warm navigation;http://localhost:5200/;100;0.4 s;;;0;0.4 s;394.8;;;0;405.9
9;1;Cold navigation;http://localhost:5200/#/login;94;0.5 s;;;0;1.7 s;452.4;;;0;1722.6
9;2;Warm navigation;http://localhost:5200/;100;0.4 s;;;0;0.4 s;395.1;;;0;418.9
10;1;Cold navigation;http://localhost:5200/#/login;94;0.5 s;;;0;1.8 s;479;;;0;1751.2
10;2;Warm navigation;http://localhost:5200/;100;0.4 s;;;0;0.4 s;395.7;;;0;412.4
AVG;1;Cold navigation (avg);;94;0.5 s;;;0;1.7 s;472.7;;;0;1733
AVG;2;Warm navigation (avg);;100;0.4 s;;;0;0.4 s;397.2;;;0;411.8
