sep=;
report;step_index;step_name;url;performance;FCP;LCP;TBT;CLS;SpeedIndex;FCP_ms;LCP_ms;TBT_ms;CLS_value;SpeedIndex_ms
1;1;Cold navigation;http://localhost:4000/login;70;4.4 s;4.5 s;210 ms;0.001;4.4 s;4359.2;4509.7;208;0.0008;4359.2
1;2;Warm navigation;http://localhost:4000/login;96;0.7 s;0.7 s;230 ms;0;0.7 s;664.2;745.7;233.8;0;664.2
2;1;Cold navigation;http://localhost:4000/login;71;4.5 s;4.6 s;140 ms;0.001;4.5 s;4521.2;4615.2;138;0.0008;4521.2
2;2;Warm navigation;http://localhost:4000/login;96;0.7 s;0.7 s;210 ms;0;0.7 s;664.2;744.7;213.3;0;664.2
3;1;Cold navigation;http://localhost:4000/login;71;4.6 s;4.7 s;80 ms;0.001;4.6 s;4570.3;4723.4;76.1;0.0008;4570.3
3;2;Warm navigation;http://localhost:4000/login;96;0.7 s;0.7 s;220 ms;0;0.7 s;664.2;745.2;223.3;0;664.2
4;1;Cold navigation;http://localhost:4000/login;71;4.4 s;4.7 s;120 ms;0.001;4.4 s;4399.9;4685.4;121;0.0008;4399.9
4;2;Warm navigation;http://localhost:4000/login;91;0.7 s;0.8 s;380 ms;0;0.7 s;664.2;778.2;376.3;0;664.2
5;1;Cold navigation;http://localhost:4000/login;69;4.3 s;4.6 s;240 ms;0.001;4.3 s;4280;4600;239.5;0.0008;4280
5;2;Warm navigation;http://localhost:4000/login;91;0.7 s;0.8 s;380 ms;0;0.7 s;675.8;775.3;378.8;0;675.8
6;1;Cold navigation;http://localhost:4000/login;69;4.4 s;4.5 s;230 ms;0.001;4.4 s;4379.5;4545;228.5;0.0008;4379.5
6;2;Warm navigation;http://localhost:4000/login;83;0.7 s;0.9 s;690 ms;0;0.7 s;682.9;882.9;685.8;0;682.9
7;1;Cold navigation;http://localhost:4000/login;72;4.4 s;4.6 s;100 ms;0.001;4.4 s;4357.5;4635.5;99;0.0008;4357.5
7;2;Warm navigation;http://localhost:4000/login;79;0.7 s;1.0 s;920 ms;0;0.7 s;745.2;950.7;921.8;0;745.2
8;1;Cold navigation;http://localhost:4000/login;66;4.3 s;4.7 s;290 ms;0.001;4.3 s;4347.9;4697.9;294.5;0.0008;4347.9
8;2;Warm navigation;http://localhost:4000/login;92;0.7 s;0.8 s;350 ms;0;0.7 s;664.2;770.2;352.8;0;664.2
9;1;Cold navigation;http://localhost:4000/login;72;4.4 s;4.6 s;90 ms;0.001;4.4 s;4356.7;4628.7;90;0.0008;4356.7
9;2;Warm navigation;http://localhost:4000/login;96;0.7 s;0.7 s;240 ms;0;0.7 s;664.2;748.2;237.8;0;664.2
10;1;Cold navigation;http://localhost:4000/login;72;4.3 s;4.5 s;160 ms;0.001;4.3 s;4251.7;4523.7;156;0.0008;4251.7
10;2;Warm navigation;http://localhost:4000/login;96;0.7 s;0.7 s;210 ms;0;0.7 s;664.2;749.2;212.8;0;664.2
AVG;1;Cold navigation (avg);;70;4.4 s;4.6 s;165 ms;0.001;4.4 s;4382.4;4616.4;165.1;0.0008;4382.4
AVG;2;Warm navigation (avg);;92;0.7 s;0.8 s;384 ms;0;0.7 s;675.3;789;383.7;0;675.3
