sep=;
report;step_index;step_name;url;performance;FCP;LCP;TBT;CLS;SpeedIndex;FCP_ms;LCP_ms;TBT_ms;CLS_value;SpeedIndex_ms
1;1;Cold navigation;http://localhost:5000/#/login;82;1.2 s;;;0;8.3 s;1218.2;;;0;8314.2
1;2;Warm navigation;http://localhost:5000/;99;0.6 s;;;0;2.6 s;623.1;;;0;2582.6
2;1;Cold navigation;http://localhost:5000/#/login;85;1.2 s;;;0;6.9 s;1234.7;;;0;6898
2;2;Warm navigation;http://localhost:5000/;99;0.7 s;;;0;2.6 s;651.6;;;0;2633
3;1;Cold navigation;http://localhost:5000/#/login;82;1.2 s;;;0;8.4 s;1236.1;;;0;8393.1
3;2;Warm navigation;http://localhost:5000/;96;0.6 s;;;0;4.0 s;639.1;;;0;3957.8
4;1;Cold navigation;http://localhost:5000/#/login;87;1.2 s;;;0;6.4 s;1190.7;;;0;6355
4;2;Warm navigation;http://localhost:5000/;100;0.6 s;;;0;0.7 s;620.6;;;0;720.5
5;1;Cold navigation;http://localhost:5000/#/login;86;1.2 s;;;0;6.7 s;1189.1;;;0;6702.5
5;2;Warm navigation;http://localhost:5000/;100;0.6 s;;;0;0.7 s;621.7;;;0;731.5
6;1;Cold navigation;http://localhost:5000/#/login;86;1.2 s;;;0;6.7 s;1181.4;;;0;6722.6
6;2;Warm navigation;http://localhost:5000/;100;0.6 s;;;0;0.8 s;642.3;;;0;753.3
7;1;Cold navigation;http://localhost:5000/#/login;86;1.2 s;;;0;6.5 s;1189.1;;;0;6467.9
7;2;Warm navigation;http://localhost:5000/;100;0.7 s;;;0;0.7 s;663.7;;;0;698.5
8;1;Cold navigation;http://localhost:5000/#/login;85;1.2 s;;;0;6.8 s;1181.9;;;0;6826.3
8;2;Warm navigation;http://localhost:5000/;100;0.7 s;;;0;0.8 s;655.4;;;0;783.3
9;1;Cold navigation;http://localhost:5000/#/login;84;1.2 s;;;0;7.4 s;1215.3;;;0;7435
9;2;Warm navigation;http://localhost:5000/;100;0.6 s;;;0;0.8 s;645.4;;;0;820.8
10;1;Cold navigation;http://localhost:5000/#/login;84;1.2 s;;;0;7.1 s;1190.1;;;0;7087.2
10;2;Warm navigation;http://localhost:5000/;100;0.6 s;;;0;0.7 s;622;;;0;746.6
AVG;1;Cold navigation (avg);;85;1.2 s;;;0;7.1 s;1202.7;;;0;7120.2
AVG;2;Warm navigation (avg);;99;0.6 s;;;0;1.4 s;638.5;;;0;1442.8
