sep=;
report;step_index;step_name;url;performance;FCP;LCP;TBT;CLS;SpeedIndex;FCP_ms;LCP_ms;TBT_ms;CLS_value;SpeedIndex_ms
1;1;Cold navigation;http://localhost:5200/#/login;79;2.2 s;;;0;7.5 s;2188.6;;;0;7549.9
1;2;Warm navigation;http://localhost:5200/;97;1.9 s;;;0;1.9 s;1884.4;;;0;1884.4
2;1;Cold navigation;http://localhost:5200/#/login;79;2.2 s;;;0;7.5 s;2162.5;;;0;7459.6
2;2;Warm navigation;http://localhost:5200/;97;1.9 s;;;0;1.9 s;1869.8;;;0;1869.8
3;1;Cold navigation;http://localhost:5200/#/login;79;2.2 s;;;0;7.4 s;2165.3;;;0;7423.7
3;2;Warm navigation;http://localhost:5200/;97;1.9 s;;;0;1.9 s;1870.8;;;0;1870.8
4;1;Cold navigation;http://localhost:5200/#/login;79;2.2 s;;;0;7.5 s;2165.1;;;0;7469.8
4;2;Warm navigation;http://localhost:5200/;97;1.9 s;;;0;1.9 s;1872.3;;;0;1872.3
5;1;Cold navigation;http://localhost:5200/#/login;79;2.2 s;;;0;7.3 s;2160;;;0;7330
5;2;Warm navigation;http://localhost:5200/;97;1.9 s;;;0;1.9 s;1877.4;;;0;1877.4
6;1;Cold navigation;http://localhost:5200/#/login;80;2.2 s;;;0;7.2 s;2165.4;;;0;7214.3
6;2;Warm navigation;http://localhost:5200/;97;1.9 s;;;0;1.9 s;1879.7;;;0;1879.7
7;1;Cold navigation;http://localhost:5200/#/login;80;2.2 s;;;0;7.3 s;2159.9;;;0;7259.4
7;2;Warm navigation;http://localhost:5200/;97;1.9 s;;;0;1.9 s;1873;;;0;1920.9
8;1;Cold navigation;http://localhost:5200/#/login;77;2.2 s;;;0;8.2 s;2229.8;;;0;8208.5
8;2;Warm navigation;http://localhost:5200/;97;1.9 s;;;0;1.9 s;1873.2;;;0;1873.2
9;1;Cold navigation;http://localhost:5200/#/login;80;2.2 s;;;0;7.3 s;2162.4;;;0;7279.7
9;2;Warm navigation;http://localhost:5200/;97;1.9 s;;;0;1.9 s;1876;;;0;1876
10;1;Cold navigation;http://localhost:5200/#/login;79;2.2 s;;;0;7.5 s;2156.2;;;0;7485.7
10;2;Warm navigation;http://localhost:5200/;97;1.9 s;;;0;1.9 s;1870;;;0;1870
AVG;1;Cold navigation (avg);;79;2.2 s;;;0;7.5 s;2171.5;;;0;7468.1
AVG;2;Warm navigation (avg);;97;1.9 s;;;0;1.9 s;1874.7;;;0;1879.5
