sep=;
report;step_index;step_name;url;performance;FCP;LCP;TBT;CLS;SpeedIndex;FCP_ms;LCP_ms;TBT_ms;CLS_value;SpeedIndex_ms
1;1;Cold navigation;http://localhost:4000/projects;97;0.9 s;1.0 s;80 ms;0;1.0 s;947.2;1015.7;75;0.0005;1026.8
1;2;Warm navigation;http://localhost:4000/projects;100;0.2 s;0.3 s;70 ms;0;0.2 s;213.2;279.7;70.5;0;213.2
2;1;Cold navigation;http://localhost:4000/projects;95;1.0 s;1.1 s;110 ms;0;1.1 s;951.5;1058.5;111;0.0005;1083.7
2;2;Warm navigation;http://localhost:4000/projects;100;0.2 s;0.3 s;70 ms;0;0.2 s;209.5;276.5;72;0;209.5
3;1;Cold navigation;http://localhost:4000/projects;97;1.0 s;1.0 s;80 ms;0;1.0 s;952.1;1020.1;77;0;1013.7
3;2;Warm navigation;http://localhost:4000/projects;100;0.2 s;0.3 s;60 ms;0;0.2 s;238.2;299.7;61;0;238.2
4;1;Cold navigation;http://localhost:4000/projects;97;0.9 s;1.1 s;80 ms;0;1.0 s;909.4;1076.9;78;0.0005;1044.2
4;2;Warm navigation;http://localhost:4000/projects;100;0.2 s;0.3 s;70 ms;0;0.2 s;210.3;273.8;65.5;0;210.3
5;1;Cold navigation;http://localhost:4000/projects;96;1.0 s;1.1 s;70 ms;0;1.0 s;980.8;1062.3;74;0.0005;1035.1
5;2;Warm navigation;http://localhost:4000/projects;100;0.2 s;0.3 s;60 ms;0;0.2 s;209.3;271.8;64;0;209.3
6;1;Cold navigation;http://localhost:4000/projects;96;1.0 s;1.1 s;80 ms;0;1.0 s;968.8;1051.8;77;0.0005;1025.4
6;2;Warm navigation;http://localhost:4000/projects;100;0.2 s;0.3 s;60 ms;0;0.2 s;238.2;300.7;63.5;0;238.2
7;1;Cold navigation;http://localhost:4000/projects;97;0.9 s;1.0 s;80 ms;0;1.0 s;946.6;1028.6;77;0.0005;1003.3
7;2;Warm navigation;http://localhost:4000/projects;100;0.2 s;0.3 s;80 ms;0;0.2 s;209.2;277.2;77;0;209.2
8;1;Cold navigation;http://localhost:4000/projects;96;0.9 s;1.0 s;90 ms;0;1.0 s;942.2;1027.7;88;0.0005;1029.8
8;2;Warm navigation;http://localhost:4000/projects;100;0.2 s;0.3 s;70 ms;0;0.2 s;209.6;275.6;69;0;209.6
9;1;Cold navigation;http://localhost:4000/projects;96;1.0 s;1.1 s;70 ms;0;1.0 s;995.1;1073.6;74;0.0005;1031.3
9;2;Warm navigation;http://localhost:4000/projects;98;0.2 s;0.3 s;130 ms;0;0.2 s;238.2;314.2;132;0;238.2
10;1;Cold navigation;http://localhost:4000/projects;96;1.0 s;1.1 s;70 ms;0;1.0 s;962.8;1083.8;74;0.0005;1040.7
10;2;Warm navigation;http://localhost:4000/projects;100;0.2 s;0.3 s;70 ms;0;0.2 s;217.7;283.7;71.5;0;217.7
AVG;1;Cold navigation (avg);;96;1.0 s;1.0 s;81 ms;0;1.0 s;955.6;1049.9;80.5;0.0005;1033.4
AVG;2;Warm navigation (avg);;100;0.2 s;0.3 s;75 ms;0;0.2 s;219.3;285.3;74.6;0;219.3
