sep=;
report;step_index;step_name;url;performance;FCP;LCP;TBT;CLS;SpeedIndex;FCP_ms;LCP_ms;TBT_ms;CLS_value;SpeedIndex_ms
1;1;Cold navigation;http://localhost:4000/projects;61;4.3 s;4.8 s;450 ms;0;4.3 s;4339.4;4760.9;452;0;4339.4
1;2;Warm navigation;http://localhost:4000/projects;82;0.7 s;1.0 s;730 ms;0;0.7 s;704.3;967.8;728.8;0;704.3
2;1;Cold navigation;http://localhost:4000/projects;56;4.3 s;4.8 s;620 ms;0;4.3 s;4316.1;4817.6;619;0;4316.1
2;2;Warm navigation;http://localhost:4000/projects;83;0.7 s;0.9 s;690 ms;0;0.7 s;688.2;931.2;688.3;0;688.2
3;1;Cold navigation;http://localhost:4000/projects;60;4.5 s;4.8 s;480 ms;0;4.5 s;4468.3;4781.8;480.5;0;4468.3
3;2;Warm navigation;http://localhost:4000/projects;83;0.7 s;1.0 s;680 ms;0;0.7 s;733.3;961.3;682.8;0;733.3
4;1;Cold navigation;http://localhost:4000/projects;60;4.3 s;4.8 s;470 ms;0;4.3 s;4305.1;4764.6;472.5;0;4305.1
4;2;Warm navigation;http://localhost:4000/projects;84;0.7 s;1.0 s;660 ms;0;0.7 s;725.2;962.2;664.3;0;725.2
5;1;Cold navigation;http://localhost:4000/projects;62;4.4 s;4.6 s;430 ms;0;4.4 s;4373.8;4630.8;432;0;4373.8
5;2;Warm navigation;http://localhost:4000/projects;83;0.7 s;0.9 s;690 ms;0;0.7 s;690.4;932.4;693.8;0;690.4
6;1;Cold navigation;http://localhost:4000/projects;62;4.3 s;4.7 s;430 ms;0;4.3 s;4275.5;4683.5;434;0;4275.5
6;2;Warm navigation;http://localhost:4000/projects;82;0.7 s;1.0 s;720 ms;0;0.7 s;725.2;967.2;717.8;0;725.2
7;1;Cold navigation;http://localhost:4000/projects;61;4.3 s;4.8 s;450 ms;0;4.3 s;4320.7;4770.7;453.5;0;4320.7
7;2;Warm navigation;http://localhost:4000/projects;82;0.7 s;0.9 s;730 ms;0;0.7 s;689.6;930.6;728.8;0;689.6
8;1;Cold navigation;http://localhost:4000/projects;60;4.3 s;4.8 s;470 ms;0;4.3 s;4322.7;4780.2;470;0;4322.7
8;2;Warm navigation;http://localhost:4000/projects;82;0.7 s;1.0 s;730 ms;0;0.7 s;717.2;967.2;725.3;0;717.2
9;1;Cold navigation;http://localhost:4000/projects;61;4.4 s;4.7 s;450 ms;0;4.4 s;4436.1;4736.6;454.5;0;4436.1
9;2;Warm navigation;http://localhost:4000/projects;84;0.7 s;0.9 s;670 ms;0;0.7 s;688.4;922.4;667.3;0;688.4
10;1;Cold navigation;http://localhost:4000/projects;60;4.5 s;4.8 s;460 ms;0;4.5 s;4463.4;4767.4;460;0.0003;4463.4
10;2;Warm navigation;http://localhost:4000/projects;80;0.7 s;1.0 s;850 ms;0;0.7 s;727.2;1020.7;849.3;0;727.2
AVG;1;Cold navigation (avg);;60;4.4 s;4.7 s;473 ms;0;4.4 s;4362.1;4749.4;472.8;0;4362.1
AVG;2;Warm navigation (avg);;83;0.7 s;1.0 s;715 ms;0;0.7 s;708.9;956.3;714.7;0;708.9
