sep=;
report;step_index;step_name;url;performance;FCP;LCP;TBT;CLS;SpeedIndex;FCP_ms;LCP_ms;TBT_ms;CLS_value;SpeedIndex_ms
1;1;Cold navigation;http://localhost:5000/#/home/projects;82;1.2 s;;;0;8.2 s;1220.6;;;0;8187.1
1;2;Warm navigation;http://localhost:5000/;98;0.7 s;;;0;3.1 s;655.5;;;0;3064.5
2;1;Cold navigation;http://localhost:5000/#/home/projects;82;1.2 s;;;0;8.5 s;1218.8;;;0;8475.4
2;2;Warm navigation;http://localhost:5000/;98;0.7 s;;;0;3.1 s;654.4;;;0;3054.7
3;1;Cold navigation;http://localhost:5000/#/home/projects;82;1.2 s;;;0;8.3 s;1217.6;;;0;8323.9
3;2;Warm navigation;http://localhost:5000/;99;0.7 s;;;0;3.0 s;658.6;;;0;3008.2
4;1;Cold navigation;http://localhost:5000/#/home/projects;82;1.2 s;;;0;8.4 s;1214.9;;;0;8380.8
4;2;Warm navigation;http://localhost:5000/;98;0.7 s;;;0;3.3 s;666.2;;;0;3332
5;1;Cold navigation;http://localhost:5000/#/home/projects;81;1.2 s;;;0;8.6 s;1221.4;;;0;8612.5
5;2;Warm navigation;http://localhost:5000/;97;0.7 s;;;0;3.6 s;666.4;;;0;3600.1
6;1;Cold navigation;http://localhost:5000/#/home/projects;82;1.2 s;;;0;8.3 s;1222;;;0;8266.8
6;2;Warm navigation;http://localhost:5000/;98;0.7 s;;;0;3.1 s;667.8;;;0;3075.7
7;1;Cold navigation;http://localhost:5000/#/home/projects;82;1.2 s;;;0;8.1 s;1215.9;;;0;8125.7
7;2;Warm navigation;http://localhost:5000/;98;0.7 s;;;0;3.1 s;653.7;;;0;3097.7
8;1;Cold navigation;http://localhost:5000/#/home/projects;84;1.2 s;;;0;7.5 s;1219.5;;;0;7497.5
8;2;Warm navigation;http://localhost:5000/;98;0.7 s;;;0;3.2 s;667.2;;;0;3158.2
9;1;Cold navigation;http://localhost:5000/#/home/projects;82;1.2 s;;;0;8.5 s;1214.2;;;0;8475.9
9;2;Warm navigation;http://localhost:5000/;98;0.7 s;;;0;3.1 s;678.9;;;0;3082.2
10;1;Cold navigation;http://localhost:5000/#/home/projects;82;1.2 s;;;0;8.2 s;1229;;;0;8200.6
10;2;Warm navigation;http://localhost:5000/;97;0.7 s;;;0;3.6 s;668.8;;;0;3550.6
AVG;1;Cold navigation (avg);;82;1.2 s;;;0;8.3 s;1219.4;;;0;8254.6
AVG;2;Warm navigation (avg);;98;0.7 s;;;0;3.2 s;663.7;;;0;3202.4
